Image,Brand,Product_URL,Product
,Pantaloons Baby,https://www.myntra.com/shirts/pantaloons-baby/pantaloons-baby-boys-navy-blue-party-shirt/17213448/buy,Party Shirt
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-printed-t-shirt-with-dungarees/21720254/buy,Printed T-shirt with Dungarees
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-printed-pure-cotton-t-shirt-with-shorts/22031470/buy,Boys Printed Clothing Set
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-infant-girls-bow-floral-printed-cotton-dress/22031522/buy,Infant Girls Cotton Dress
,Moms Home,https://www.myntra.com/baby-apparel-gift-set/moms-home/moms-home-infant-pack-of-40-multi-baby-apparel-gift-set/19637678/buy,Pack of 40 Baby Gift Set
,Nauti Nati,https://www.myntra.com/clothing-set/nauti-nati/nauti-nati-girls-navy-blue--white-checked-clothing-set/12728734/buy,Girls Checked Clothing Set
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-blue-dress/18856944/buy,Dress
,POMY & JINNY,https://www.myntra.com/clothing-set/pomy--jinny/-pomy--jinny-girls-pink-clothing-set/19718326/buy,Girls Clothing Set
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-infants-boys-printed-cotton-shirt-with-shorts-and-waistcoat-set/22304804/buy,Boys Cotton Clothing Set
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-navy-blue-a-line-dress/19567720/buy,A-Line Dress
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-blue--white-printed-t-shirt/20226558/buy,Boys Printed T-shirt
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-infants-boys-polo-collar-cotton-t-shirt/22122826/buy,Infants Boys Cotton T-shirt
,Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-girls-cotton-denim-shorts/21441780/buy,Girls Cotton Denim Shorts
,Anthrilo,https://www.myntra.com/clothing-set/anthrilo/anthrilo-girls-printed-pure-cotton-t-shirt-with-leggings-clothing-set/22863662/buy,T-shirt & Legging Clothing Set
,Moms Home,https://www.myntra.com/baby-apparel-gift-set/moms-home/moms-home-infants-pack-of-21-printed-organic-cotton-baby-apparel-gift-set/22240736/buy,Infants Pack of 21 Gift Set
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-printed-shirt-with-trousers/20032308/buy,Boys Printed Shirt with Trousers
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-fit--flare-dress/22935004/buy,Girls Fit & Flare Dress
,Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-boys-cotton-dungarees-with-printed-shirt/23031140/buy,Boys Dungarees With Shirt
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-fit--flare-bow-cotton-dress/21051340/buy,Girls Fit & Flare Cotton Dress
,Pantaloons Baby,https://www.myntra.com/shirts/pantaloons-baby/pantaloons-baby-boys-navy-blue-casual-shirt/19489030/buy,Boys Casual Shirt
,Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-navy-blue-denim-shorts/20037510/buy,Boys Denim Shorts
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-cotton-floral-dress/21548106/buy,Girls Cotton Floral Dress
,Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-boys-yellow--blue-striped-cotton-dungarees/17406500/buy,Boys Striped Cotton Dungarees
,Marks & Spencer,https://www.myntra.com/clothing-set/marks--spencer/marks--spencer-girls-blue--white-printed-cotton-clothing-set/19785026/buy,Printed Cotton Clothing Set
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-fit--flare-round-neck-cotton-dress/21051354/buy,Fit & Flare Cotton Dress
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-grey-melange--white-t-shirt/20226562/buy,Boys T-shirt
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-printed-cotton-fit-and-flare-dress/21254028/buy,Girls Printed Cotton Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16952796/2022/1/27/4d986f42-073e-4ea6-98a6-9ed8479dfa391643282365556Shorts1.jpg",Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-infant-boys-pack-of-2-pure-cotton-shorts/16952796/buy,Infant Boys 2 Cotton Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19712384/2022/8/29/0428e6a2-83e7-48fc-a066-0f1c607274bd1661766200075HopscotchGirlsYellowClothingSet1.jpg",Hopscotch,https://www.myntra.com/clothing-set/hopscotch/-hopscotch-girls-yellow-clothing-set/19712384/buy,Girls Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17302130/2022/2/26/42865a36-1fbf-4e10-be55-557d8c03da001645848489000PantaloonsBabyBlueColourblockedPinaforeDress1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-blue-colourblocked-pinafore-dress-with-tshirt/17302130/buy,Girls Pinafore Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20540440/2022/10/29/661c2c39-a9d4-442a-b6f8-5da34e4f3d061666988683772Dresses1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-pink-floral-dress/20540440/buy,Girls Floral Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21548106/2023/3/30/f1688acc-b444-417a-8c8a-f445b91c20a61680160986716PantaloonsBabyGirlsCottonFloralDress1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-cotton-floral-dress/21548106/buy,Girls Cotton Floral Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22031478/2023/2/18/9e5d2db3-9b33-424b-846b-0c134b9bf4c41676661400715ClothingSet1.jpg",Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/-pantaloons-baby-girls-printed-pure-cotton-t-shirt-with-shorts/22031478/buy,Girls Printed Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18856944/2022/6/24/81a3a998-62e8-4132-9751-aff30de29e121656071869515Dresses1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-blue-dress/18856944/buy,Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17904036/2023/2/22/f42ec872-4afc-49fc-bc21-b0c9f76565381677064956825-Pantaloons-Baby-Girls-Green-Cotton-Dress-6621677064956398-1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-green-cotton-dress/17904036/buy,Girls Cotton Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23230804/2023/5/17/4c01bb52-a579-47d4-ac46-078241e170151684303767014FloralPrintedStrapedTopBeltedShortSet1.jpg",CrayonFlakes,https://www.myntra.com/clothing-set/crayonflakes/crayonflakes-girls-floral-printed-top-with-shorts-clothing-set/23230804/buy,Girls Printed Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16486200/2021/12/12/29dafb12-f19f-481f-b5fd-d60a000935bc1639312884930PantaloonsBabyBoysRed1.jpg",Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-boys-red-printed-t-shirt--dungaree/16486200/buy,Boys T-shirt & Dungaree
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19365602/2022/8/3/6c004282-be61-4248-8327-e6094fb07eed1659522274450Shorts1.jpg",Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-navy-blue-cargo-shorts/19365602/buy,Boys Cargo Shorts
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-printed-pure-cotton-t-shirt-with-shorts/22031472/buy,Boys Printed Clothing Set
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-infant-boys-printed-polo-collar-t-shirt/22307132/buy,Boys Polo Collar T-Shirt
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-orange-floral-a-line-dress/18466258/buy,Floral A-Line Dress
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-blue--yellow-printed-pure-cotton-t-shirt-with-trousers/17832720/buy,Boys Printed T-shirt with Trousers
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-printed-cotton-fit-and-flare-dress/21254028/buy,Girls Printed Cotton Dress
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-cotton-polo-collar-t-shirt/21364972/buy,Boys Cotton T-shirt
,Pantaloons Baby,https://www.myntra.com/shirts/pantaloons-baby/pantaloons-baby-boys-white-regular-fit-printed-casual-shirt/19489026/buy,Regular Fit Printed Casual Shirt
,Marks & Spencer,https://www.myntra.com/clothing-set/marks--spencer/marks--spencer-girls-blue--white-printed-cotton-clothing-set/19785026/buy,Printed Cotton Clothing Set
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-maroon-t-shirt-with-trousers/17055326/buy,Boys T-shirt with Trousers
,Hopscotch,https://www.myntra.com/clothing-set/hopscotch/hopscotch-boys-yellow-and-blue-clothing-set/19709616/buy,Boys Clothing Set
,Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-boys-yellow--blue-striped-cotton-dungarees/17406500/buy,Boys Striped Cotton Dungarees
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-cotton-dress/21548104/buy,Cotton Dress
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-orange-printed-t-shirt/19128340/buy,Boys Printed T-shirt
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-printed-shirt-with-trousers/20032308/buy,Boys Printed Shirt with Trousers
,BABY GO,https://www.myntra.com/lounge-pants/baby-go/baby-go-infant-kids-pack-of-3-lounge-pants/13999686/buy,Infant Kids Pack Of 3 Lounge Pants
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-printed-t-shirt-with-dungarees/21720254/buy,Printed T-shirt with Dungarees
,Pantaloons Baby,https://www.myntra.com/trousers/pantaloons-baby/pantaloons-baby-infants-girls-printed-cotton-trousers/22233104/buy,Infants Girls Printed Trousers
,Baby Moo,https://www.myntra.com/night-suits/baby-moo/baby-moo-kids-conversational-printed-pure-cotton-night-suit/23048516/buy,Kids Pure Cotton Night Suit
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-pack-of-3-striped-cotton-t-shirt/20726684/buy,Boys Pack of 3 Cotton T-shirt
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-fit--flare-bow-cotton-dress/21051340/buy,Girls Fit & Flare Cotton Dress
,Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-yellow-regular-shorts/15865074/buy,Boys Regular Shorts
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-navy-blue-solid-pure-cotton-shirt-with-trousers-with-suspender/17055324/buy,Boys Shirt with Trousers
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-yellow-printed-layered-cotton-dress/17663868/buy,Girls Printed Layered Cotton Dress
,Pantaloons Baby,https://www.myntra.com/trousers/pantaloons-baby/pantaloons-baby-boys-olive-solid-trousers/15980748/buy,Boys Solid Trousers
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-printed-pure-cotton-t-shirt-with-shorts/22031466/buy,Boys Printed Clothing Set
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-girls-pink-printed-t-shirt/19128342/buy,Girls Printed T-shirt
,Nauti Nati,https://www.myntra.com/clothing-set/nauti-nati/nauti-nati-girls-navy-blue--white-checked-clothing-set/12728734/buy,Girls Checked Clothing Set
,MINI KLUB,https://www.myntra.com/clothing-set/mini-klub/mini-klub-infant-girls-clothing-set/13139660/buy,Infant Girls Clothing Set
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-maroon-printed-henley-neck-t-shirt/19568052/buy,Boys Printed Henley Neck T-shirt
,Anthrilo,https://www.myntra.com/clothing-set/anthrilo/anthrilo-boys-printed-pure-cotton-short-sleeves-t-shirt-with-shorts-clothing-set/22764864/buy,T-shirt & Shorts Clothing Set
,Pantaloons Baby,https://www.myntra.com/shirts/pantaloons-baby/pantaloons-baby-boys-yellow-opaque-casual-shirt/15523490/buy,Opaque Casual Shirt
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-printed-cotton-dress/21217956/buy,Printed Cotton Dress
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-off-white-printed-t-shirt/19406030/buy,Boys Printed T-shirt
,BABY GO,https://www.myntra.com/clothing-set/baby-go/baby-go-boys-grey--blue-printed-t-shirt-with-shorts/14660560/buy,Boys Printed T-shirt with Shorts
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-navy-blue-pinafore-dress/16259700/buy,Pinafore Dress
,Hopscotch,https://www.myntra.com/clothing-set/hopscotch/hopscotch-girls-black-clothing-set/19722422/buy,Girls Clothing Set
,Nauti Nati,https://www.myntra.com/clothing-set/nauti-nati/nauti-nati-girls-blue--peach-coloured--striped-cotton-clothing-set/18359958/buy,Girls Cotton Clothing Set
,Pantaloons Baby,https://www.myntra.com/track-pants/pantaloons-baby/pantaloons-baby-infant-girls-pack-of-3-cotton-track-pants/22032558/buy,Infant Girls Pack Of 3 Cotton Track Pants
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-infants-boys-polo-collar-cotton-t-shirt/22497086/buy,Infants Boys Cotton T-Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20226572/2022/9/30/36d1d91d-cf98-467f-887f-ba59606fe6da1664504961388ClothingSet1.jpg",Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-girls-pink--yellow-t-shirt-with-skirt/20226572/buy,Girls T-shirt with Skirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21716614/2023/1/27/4093149e-0e2f-455b-9a6e-2b8975285d981674813322395MomsHomeOrganicCottonSoftBabyMuslinSwaddleMulticolored100x101.jpg",Moms Home,https://www.myntra.com/baby-care-products/moms-home/moms-home-infants-set-of-2-organic-cotton-soft-baby-muslin-swaddle/21716614/buy,Infants Set Of 2 Organic Cotton Soft Baby Muslin Swaddle
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18081204/2022/4/28/234e88a1-6a8e-44ce-a220-62c10c79515e1651161443553BabyMooElephantPinkAppliqueHoodedTowelWashClothSet1.jpg",Baby Moo,https://www.myntra.com/bath-towels/baby-moo/baby-moo-kids-set-of-5-pink-applique-hooded-towel--wash-cloth-set/18081204/buy,Kids Set Of 5 Hooded Towel & Wash Cloth Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17178776/2022/2/16/9354e84d-643a-4e7c-bd8b-dcc6164678fb1645015557871Skirts1.jpg",Baby Moo,https://www.myntra.com/skirts/baby-moo/baby-moo-girls-red-skirt-and-accessory-set/17178776/buy,Girls Skirt And Accessory Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17409148/2022/3/5/49e9e021-bc73-4a06-8557-51317055f2521646473486418PantaloonsBabyBoysRedCargosTrousers1.jpg",Pantaloons Baby,https://www.myntra.com/trousers/pantaloons-baby/pantaloons-baby-boys-rust-red-cotton-cargos-trousers/17409148/buy,Boys Cargos Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21136024/2023/3/30/89c0db3a-6831-4f09-ad3b-e1bf77129e211680160853521PantaloonsBabyInfantGirlsCottonFlaredDungarees1.jpg",Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-infant-girls-cotton-flared-dungarees/21136024/buy,Infant Girls Cotton Flared Dungarees
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18842020/2022/7/27/bb18e44a-8e75-45c5-951f-7f27b71d97001658897273630-Civil-Girls-Clothing-Set-9141658897273387-1.jpg",Civil,https://www.myntra.com/clothing-set/civil/civil-infant-girls-pink--green-ribbed-floral-printed-clothing-set/18842020/buy,InfantGirl Floral ClothingSet
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20041930/2022/9/17/39e2f471-238d-4ba8-aa87-bdfac8a0a8ac1663390499794PantaloonsBabyBoysWhitePrintedV-NeckT-shirt1.jpg",Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-white-printed-v-neck-t-shirt/20041930/buy,Boys Printed V-Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/16/a60b6f6c-cdf4-4bd1-ae99-e1c282c888b61615913015662-1.jpg",BABY GO,https://www.myntra.com/rompers/baby-go/baby-go-infants-kids-yellow--grey-printed-romper/13886336/buy,Infants Kids Printed Romper
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/17/a53d8ac2-417f-4671-aea2-bcd3f7b5e85d1615972109872-1.jpg",BABY GO,https://www.myntra.com/clothing-set/baby-go/baby-go-boys-yellow--navy-blue-printed-t-shirt-with-shorts/13890364/buy,Boys Printed T-shirt with Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17763760/2022/4/5/7ce259f2-4d51-4d55-b3e2-cbf2505a200d1649162766285PantaloonsBabyBoysGreenShorts1.jpg",Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-pack-of-2-cotton-shorts/17763760/buy,Boys Pack of 2 Cotton Shorts
,Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-boys-yellow-printed-t-shirt/19128336/buy,Boys Printed T-shirt
